# ----------------------------------------
# 1 Master View
# Top Conversion Paths
# 20170207-20170306
# ----------------------------------------

Source/Medium Path,Conversions,Conversion Value
(direct) / (none),583,"$111,067.34"
(direct) / (none) > (direct) / (none),233,"$53,201.13"
google / organic,161,"$12,168.02"
mall.googleplex.com / referral,108,"$13,134.03"
(direct) / (none) > (direct) / (none) > (direct) / (none),85,"$18,672.92"
mall.googleplex.com / referral > (direct) / (none),69,"$10,624.66"
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none),50,"$6,504.05"
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),43,"$12,936.02"
google / organic > (direct) / (none),42,"$3,255.84"
sites.google.com / referral,37,"$6,478.45"
google / organic > (direct) / (none) > (direct) / (none),37,"$4,896.28"
sites.google.com / referral > mall.googleplex.com / referral,23,"$4,274.00"
(direct) / (none) > mall.googleplex.com / referral,23,"$3,284.05"
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),21,"$25,115.53"
google / cpc,17,"$1,465.77"
sites.google.com / referral > (direct) / (none),14,"$4,284.00"
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),12,"$1,854.20"
sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral,11,"$1,925.19"
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),11,"$1,976.67"
l.facebook.com / referral > (direct) / (none),10,"$1,221.57"
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),10,$477.75
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),10,"$1,780.30"
(direct) / (none) > mall.googleplex.com / referral > (direct) / (none),9,"$1,074.70"
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),9,$470.62
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),8,"$1,416.52"
moma.corp.google.com / referral,8,"$1,519.00"
dfa / cpm,7,"$1,410.40"
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),6,$545.95
(direct) / (none) > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none),6,$764.56
sites.google.com / referral > (direct) / (none) > (direct) / (none),5,$774.00
sites.google.com / referral > moma.corp.google.com / referral,5,"$1,190.00"
(direct) / (none) > google / cpc,5,$443.86
(direct) / (none) > (direct) / (none) > mall.googleplex.com / referral,5,$853.27
groups.google.com / referral,5,$385.50
moma.corp.google.com / referral > sites.google.com / referral > mall.googleplex.com / referral,5,$645.00
